,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Pts Won,Pts Max,Share,WS,WS/48,W,L,W/L%,GB,PS/G,PA/G,SRS
201,Al Jefferson,29.0,Charlotte Bobcats,C,73.0,73.0,35.0,9.6,18.8,0.509,0.0,0.2,0.2,9.5,18.6,0.512,0.51,2.6,3.8,0.69,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8,2014,34.0,1250.0,0.027,7.8,0.146,43,39,.524,11.0,96.9,97.1,-0.89
343,Allen Iverson,21.0,Philadelphia 76ers,PG,76.0,74.0,40.1,8.2,19.8,0.416,2.0,6.0,0.341,6.2,13.8,0.448,0.467,5.0,7.2,0.702,1.5,2.6,4.1,7.5,2.1,0.3,4.4,3.1,23.5,1997,1.0,1150.0,0.001,4.1,0.065,22,60,.268,39.0,100.2,106.7,-5.89
345,Allen Iverson,23.0,Philadelphia 76ers,SG,48.0,48.0,41.5,9.1,22.0,0.412,1.2,4.1,0.291,7.9,17.9,0.44,0.439,7.4,9.9,0.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8,1999,319.0,1180.0,0.27,7.2,0.173,28,22,.560,5.0,89.7,87.6,2.56
346,Allen Iverson,24.0,Philadelphia 76ers,SG,70.0,70.0,40.8,10.4,24.8,0.421,1.3,3.7,0.341,9.1,21.0,0.435,0.446,6.3,8.9,0.713,1.0,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4,2000,132.0,1210.0,0.109,6.9,0.116,49,33,.598,3.0,94.8,93.4,1.02
347,Allen Iverson,25.0,Philadelphia 76ers,SG,71.0,71.0,42.0,10.7,25.5,0.42,1.4,4.3,0.32,9.4,21.2,0.441,0.447,8.2,10.1,0.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,2001,1121.0,1240.0,0.904,11.8,0.19,56,26,.683,—,94.7,90.4,3.64
348,Allen Iverson,26.0,Philadelphia 76ers,SG,60.0,59.0,43.7,11.1,27.8,0.398,1.3,4.5,0.291,9.8,23.4,0.419,0.422,7.9,9.8,0.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4,2002,29.0,1260.0,0.023,6.9,0.126,43,39,.524,9.0,91.0,89.4,1.27
349,Allen Iverson,27.0,Philadelphia 76ers,SG,82.0,82.0,42.5,9.8,23.7,0.414,1.0,3.7,0.277,8.8,20.0,0.44,0.436,7.0,9.0,0.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6,2003,83.0,1190.0,0.07,9.2,0.127,48,34,.585,1.0,96.8,94.5,1.76
351,Allen Iverson,29.0,Philadelphia 76ers,PG,75.0,75.0,42.3,10.3,24.2,0.424,1.4,4.5,0.308,8.9,19.7,0.451,0.453,8.7,10.5,0.835,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9,30.7,2005,240.0,1270.0,0.189,9.0,0.136,43,39,.524,2.0,99.1,99.9,-1.07
352,Allen Iverson,30.0,Philadelphia 76ers,PG,72.0,72.0,43.1,11.3,25.3,0.447,1.0,3.1,0.323,10.3,22.2,0.465,0.467,9.4,11.5,0.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0,2006,1.0,1250.0,0.001,10.6,0.165,38,44,.463,11.0,99.4,101.3,-2.10
368,Alonzo Mourning,25.0,Miami Heat,C,70.0,70.0,38.2,8.0,15.4,0.523,0.1,0.4,0.3,7.9,14.9,0.53,0.527,7.0,10.2,0.685,3.1,7.3,10.4,2.3,1.0,2.7,3.7,3.5,23.2,1996,6.0,1130.0,0.005,9.9,0.178,42,40,.512,18.0,96.5,95.0,1.46
369,Alonzo Mourning,26.0,Miami Heat,C,66.0,65.0,35.2,7.2,13.4,0.534,0.0,0.1,0.111,7.2,13.3,0.539,0.535,5.5,8.6,0.642,2.9,7.1,9.9,1.6,0.8,2.9,3.4,4.1,19.8,1997,5.0,1150.0,0.004,8.4,0.174,61,21,.744,—,94.8,89.3,5.56
371,Alonzo Mourning,28.0,Miami Heat,C,46.0,46.0,38.1,7.0,13.8,0.511,0.0,0.0,0.0,7.0,13.7,0.513,0.511,6.0,9.2,0.652,3.6,7.4,11.0,1.6,0.7,3.9,3.0,3.5,20.1,1999,773.0,1180.0,0.655,7.9,0.216,33,17,.660,—,89.0,84.0,5.11
372,Alonzo Mourning,29.0,Miami Heat,C,79.0,78.0,34.8,8.3,15.0,0.551,0.0,0.1,0.0,8.3,14.9,0.553,0.551,5.2,7.4,0.711,2.7,6.8,9.5,1.6,0.5,3.7,2.7,3.9,21.7,2000,367.0,1210.0,0.303,12.9,0.226,52,30,.634,—,94.4,91.3,2.75
414,Amar'e Stoudemire,22.0,Phoenix Suns,C,80.0,80.0,36.1,9.3,16.7,0.559,0.0,0.2,0.188,9.3,16.5,0.564,0.56,7.3,9.9,0.733,2.7,6.2,8.9,1.6,1.0,1.6,2.4,3.5,26.0,2005,41.0,1270.0,0.032,14.6,0.243,62,20,.756,—,110.4,103.3,7.08
416,Amar'e Stoudemire,24.0,Phoenix Suns,C,82.0,78.0,32.8,7.4,12.9,0.575,0.0,0.0,0.0,7.4,12.8,0.577,0.575,5.6,7.1,0.781,2.7,6.9,9.6,1.0,1.0,1.3,2.8,3.6,20.4,2007,2.0,1290.0,0.002,11.2,0.201,61,21,.744,—,110.2,102.9,7.28
417,Amar'e Stoudemire,25.0,Phoenix Suns,C,79.0,79.0,33.9,9.0,15.3,0.59,0.1,0.4,0.161,9.0,14.9,0.601,0.592,7.0,8.7,0.805,2.3,6.8,9.1,1.5,0.8,2.1,2.2,3.7,25.2,2008,27.0,1260.0,0.021,14.6,0.262,55,27,.671,2.0,110.1,105.0,5.14
419,Amar'e Stoudemire,27.0,Phoenix Suns,PF,82.0,82.0,34.6,8.6,15.4,0.557,0.0,0.1,0.167,8.6,15.3,0.559,0.557,5.9,7.7,0.771,2.8,6.1,8.9,1.0,0.6,1.0,2.6,3.4,23.1,2010,5.0,1230.0,0.004,10.7,0.181,54,28,.659,3.0,110.2,105.3,4.67
420,Amar'e Stoudemire,28.0,New York Knicks,C,78.0,78.0,36.8,9.5,19.0,0.502,0.1,0.3,0.435,9.4,18.7,0.503,0.505,6.1,7.7,0.792,2.5,5.6,8.2,2.6,0.9,1.9,3.2,3.5,25.3,2011,9.0,1210.0,0.007,8.0,0.134,42,40,.512,14.0,106.5,105.7,0.48
553,Andrei Kirilenko,22.0,Utah Jazz,PF,78.0,78.0,37.1,5.3,11.9,0.443,0.9,2.6,0.338,4.4,9.4,0.471,0.479,5.0,6.4,0.79,2.9,5.2,8.1,3.1,1.9,2.8,2.8,2.2,16.5,2004,2.0,1230.0,0.002,11.6,0.192,42,40,.512,16.0,88.7,89.9,-0.53
651,Anfernee Hardaway,23.0,Orlando Magic,PG,77.0,77.0,37.7,7.6,14.8,0.512,1.1,3.2,0.349,6.5,11.6,0.558,0.55,4.6,6.0,0.769,1.8,2.6,4.4,7.2,1.7,0.3,3.4,2.1,20.9,1995,23.0,1050.0,0.022,10.7,0.177,57,25,.695,—,110.9,103.8,6.44
652,Anfernee Hardaway,24.0,Orlando Magic,PG,82.0,82.0,36.8,7.6,14.8,0.513,1.1,3.5,0.314,6.5,11.4,0.573,0.549,5.4,7.1,0.767,1.6,2.7,4.3,7.1,2.0,0.5,2.8,2.0,21.7,1996,360.0,1130.0,0.319,14.4,0.229,60,22,.732,—,104.5,99.0,5.40
655,Anfernee Hardaway,27.0,Orlando Magic,SG,50.0,50.0,38.9,6.0,14.3,0.42,0.8,2.8,0.286,5.2,11.5,0.452,0.448,3.0,4.2,0.706,1.5,4.2,5.7,5.3,2.2,0.5,3.0,2.2,15.8,1999,1.0,1180.0,0.001,5.0,0.122,33,17,.660,—,89.5,86.9,3.11
683,Antawn Jamison,31.0,Washington Wizards,PF,79.0,79.0,38.7,7.8,17.9,0.436,1.5,4.5,0.339,6.3,13.5,0.468,0.478,4.2,5.5,0.76,2.7,7.5,10.2,1.5,1.3,0.4,1.4,2.5,21.4,2008,1.0,1260.0,0.001,9.2,0.144,43,39,.524,9.0,98.8,99.2,-0.61
734,Anthony Davis,21.0,New Orleans Pelicans,PF,68.0,68.0,36.1,9.4,17.6,0.535,0.0,0.2,0.083,9.4,17.5,0.54,0.536,5.5,6.8,0.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4,2015,203.0,1300.0,0.156,14.0,0.274,45,37,.549,11.0,99.4,98.6,1.13
736,Anthony Davis,23.0,New Orleans Pelicans,C,75.0,75.0,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,2017,2.0,1010.0,0.002,11.0,0.195,34,48,.415,27.0,104.3,106.4,-1.69
737,Anthony Davis,24.0,New Orleans Pelicans,PF,75.0,75.0,36.4,10.4,19.5,0.534,0.7,2.2,0.34,9.7,17.3,0.558,0.552,6.6,8.0,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,2018,445.0,1010.0,0.441,13.7,0.241,48,34,.585,17.0,111.7,110.4,1.48
739,Anthony Davis,26.0,Los Angeles Lakers,PF,62.0,62.0,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,0.536,7.2,8.5,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,2020,82.0,1010.0,0.081,11.1,0.25,52,19,.732,—,113.4,107.6,6.28
747,Anthony Edwards,22.0,Minnesota Timberwolves,SG,79.0,78.0,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13.0,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,2024,18.0,990.0,0.018,7.5,0.13,56,26,.683,1.0,113.0,106.5,6.39
748,Anthony Edwards,23.0,Minnesota Timberwolves,SG,79.0,79.0,36.3,9.1,20.4,0.447,4.1,10.3,0.395,5.1,10.1,0.501,0.547,5.3,6.3,0.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,2025,12.0,1000.0,0.012,8.4,0.14,49,33,.598,19.0,114.3,109.3,5.15
779,Anthony Mason,30.0,Charlotte Hornets,PF,73.0,73.0,43.1,5.9,11.3,0.525,0.0,0.0,0.333,5.9,11.3,0.526,0.525,4.4,5.9,0.745,2.5,8.8,11.4,5.7,1.0,0.5,2.3,2.8,16.2,1997,7.0,1150.0,0.006,11.4,0.173,54,28,.659,15.0,98.9,97.0,2.13
851,Antoine Walker,21.0,Boston Celtics,PF,82.0,82.0,39.9,8.8,20.8,0.423,1.1,3.6,0.312,7.7,17.2,0.447,0.45,3.7,5.8,0.645,3.3,6.9,10.2,3.3,1.7,0.7,3.6,3.2,22.4,1998,6.0,1160.0,0.005,4.8,0.07,36,46,.439,19.0,95.9,98.5,-1.96
1062,Baron Davis,24.0,New Orleans Hornets,PG,67.0,66.0,40.1,8.3,20.9,0.395,2.8,8.7,0.321,5.5,12.2,0.448,0.462,3.5,5.3,0.673,1.0,3.3,4.3,7.5,2.4,0.4,3.2,2.7,22.9,2004,4.0,1230.0,0.003,7.5,0.133,41,41,.500,20.0,91.8,91.9,-0.72
1064,Baron Davis,27.0,Golden State Warriors,PG,63.0,62.0,35.3,7.2,16.3,0.439,1.3,4.4,0.304,5.8,11.9,0.489,0.48,4.4,5.9,0.745,0.8,3.6,4.4,8.1,2.1,0.5,3.1,2.9,20.1,2007,1.0,1290.0,0.001,6.4,0.139,42,40,.512,19.0,106.5,106.9,0.00
