,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Pts Won,Pts Max,Share,WS,WS/48,W,L,W/L%,GB,PS/G,PA/G,SRS,PTS_Scaled,TRB_Scaled,AST_Scaled,STL_Scaled,BLK_Scaled,FG%_Scaled,eFG%_Scaled,WS_Scaled,WS/48_Scaled
201,Al Jefferson,29.0,Charlotte Bobcats,C,73.0,73.0,35.0,9.6,18.8,0.509,0.0,0.2,0.2,9.5,18.6,0.512,0.51,2.6,3.8,0.69,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8,2014,34.0,1250.0,0.027,7.8,0.146,43,39,.524,11.0,96.9,97.1,-0.89,-0.19690096873241095,1.0001748327380549,-1.2282918640800788,-0.96266902032875,0.1808540501985502,0.4502080536602977,-0.27166246455866644,-0.9286773457539066,-1.0512838428913245
343,Allen Iverson,21.0,Philadelphia 76ers,PG,76.0,74.0,40.1,8.2,19.8,0.416,2.0,6.0,0.341,6.2,13.8,0.448,0.467,5.0,7.2,0.702,1.5,2.6,4.1,7.5,2.1,0.3,4.4,3.1,23.5,1997,1.0,1150.0,0.001,4.1,0.065,22,60,.268,39.0,100.2,106.7,-5.89,0.12999325512271823,-1.0457283411360345,0.7843898423145385,1.3270912489828501,-0.7278386293061337,-1.6030772751829274,-1.2903481608236893,-2.040848079648749,-2.7334060798492366
345,Allen Iverson,23.0,Philadelphia 76ers,SG,48.0,48.0,41.5,9.1,22.0,0.412,1.2,4.1,0.291,7.9,17.9,0.44,0.439,7.4,9.9,0.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8,1999,319.0,1180.0,0.27,7.2,0.173,28,22,.560,5.0,89.7,87.6,2.56,0.7645526308414988,-0.8014413950018148,-0.29649477778627464,1.708717960534783,-0.9550117991823048,-1.6913906226600555,-1.9536783816474261,-1.1090293566557727,-0.4905764305720204
346,Allen Iverson,24.0,Philadelphia 76ers,SG,70.0,70.0,40.8,10.4,24.8,0.421,1.3,3.7,0.341,9.1,21.0,0.435,0.446,6.3,8.9,0.713,1.0,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4,2000,132.0,1210.0,0.109,6.9,0.116,49,33,.598,3.0,94.8,93.4,1.02,1.0722177827051496,-1.137335945936367,-0.2592228943345223,1.3270912489828501,-0.9550117991823048,-1.4926855908365175,-1.7878458264414918,-1.1992053621067058,-1.6742920788016622
347,Allen Iverson,25.0,Philadelphia 76ers,SG,71.0,71.0,42.0,10.7,25.5,0.42,1.4,4.3,0.32,9.4,21.2,0.441,0.447,8.2,10.1,0.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,2001,1121.0,1240.0,0.904,11.8,0.19,56,26,.683,—,94.7,90.4,3.64,1.5914027264750614,-1.137335945936367,-0.29649477778627464,2.0903446720867165,-0.7278386293061337,-1.5147639277057994,-1.7641554614120727,0.2736693935918691,-0.13753843022282858
348,Allen Iverson,26.0,Philadelphia 76ers,SG,60.0,59.0,43.7,11.1,27.8,0.398,1.3,4.5,0.291,9.8,23.4,0.419,0.422,7.9,9.8,0.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4,2002,29.0,1260.0,0.023,6.9,0.126,43,39,.524,9.0,91.0,89.4,1.27,1.6490899424494954,-0.9235848680689247,0.03895217327949503,2.6627847394146165,-0.8414252142442193,-2.0004873388300024,-2.356414587147552,-1.1992053621067058,-1.4666226668315496
349,Allen Iverson,27.0,Philadelphia 76ers,SG,82.0,82.0,42.5,9.8,23.7,0.414,1.0,3.7,0.277,8.8,20.0,0.44,0.436,7.0,9.0,0.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6,2003,83.0,1190.0,0.07,9.2,0.127,48,34,.585,1.0,96.8,94.5,1.76,0.9183852067733245,-1.015192472869257,0.03895217327949503,2.4719713836386505,-0.8414252142442193,-1.6472339489214916,-2.0247494767356837,-0.5078559869828854,-1.4458557256345383
351,Allen Iverson,29.0,Philadelphia 76ers,PG,75.0,75.0,42.3,10.3,24.2,0.424,1.4,4.5,0.308,8.9,19.7,0.451,0.453,8.7,10.5,0.835,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9,30.7,2005,240.0,1270.0,0.189,9.0,0.136,43,39,.524,2.0,99.1,99.9,-1.07,1.514486438509148,-1.0762642094028119,0.9334773761215474,1.89953131631075,-0.9550117991823048,-1.4264505802286715,-1.6220132712355577,-0.5679733239501739,-1.2589532548614368
352,Allen Iverson,30.0,Philadelphia 76ers,PG,72.0,72.0,43.1,11.3,25.3,0.447,1.0,3.1,0.323,10.3,22.2,0.465,0.467,9.4,11.5,0.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0,2006,1.0,1250.0,0.001,10.6,0.165,38,44,.463,11.0,99.4,101.3,-2.10,1.9567550943131469,-1.3205511555370315,0.7471179588627864,0.9454645374309165,-0.9550117991823048,-0.9186488322351853,-1.2903481608236893,-0.08703462821186385,-0.6567119601481101
368,Alonzo Mourning,25.0,Miami Heat,C,70.0,70.0,38.2,8.0,15.4,0.523,0.1,0.4,0.3,7.9,14.9,0.53,0.527,7.0,10.2,0.685,3.1,7.3,10.4,2.3,1.0,2.7,3.7,3.5,23.2,1996,6.0,1130.0,0.005,9.9,0.178,42,40,.512,18.0,96.5,95.0,1.46,0.07230603914828351,0.878031359670945,-1.1537480971765746,-0.7718556645527833,1.998239409207918,0.7593047698302458,0.1310737409414594,-0.2974453075973743,-0.386741724586964
